Max;p99;7;7;199
Max;p96;16;7;199
Max;p95;11;7;199
Max;p88;8;7;199
Max;p98;13;7;199
Max;p70;8;7;199
Max;p66;8;7;199
Max;p89;8;7;199
Max;p93;8;7;199
Max;p85;8;7;199
Max;p84;8;7;199
Max;p81;8;7;199
Max;p80;8;7;199
Max;p74;8;7;199
Max;p0;11;7;199
Max;p62;8;7;199
Max;p58;8;7;199
Max;p78;8;7;199
Max;p94;10;7;199
Max;p92;8;7;199
Max;p77;8;7;199
Max;p50;8;7;199
Max;p83;8;7;199
Max;p76;8;7;199
Max;p73;8;7;199
Max;p72;8;7;199
Max;p86;9;7;199
Max;p82;8;7;199
Max;p54;8;7;199
Max;p46;8;7;199
Max;p39;8;7;199
Max;p47;8;7;199
Max;p55;8;7;199
Max;p63;8;7;199
Max;p75;8;7;199
Max;p91;8;7;199
Max;p42;8;7;199
Max;p67;8;7;199
Max;p64;8;7;199
Max;p68;8;7;199
Max;p71;8;7;199
Max;p10;8;7;199
Max;p38;8;7;199
Max;p79;8;7;199
Max;p61;8;7;199
Max;p69;8;7;199
Max;p60;8;7;199
Max;p97;12;7;199
Max;p65;8;7;199
Max;p51;8;7;199
Max;p59;8;7;199
Max;p56;8;7;199
Max;p53;8;7;199
Max;p57;8;7;199
Max;p52;8;7;199
Max;p48;8;7;199
Max;p49;7;7;199
Max;p44;8;7;199
Max;p22;8;7;199
Max;p31;8;7;199
Max;p43;8;7;199
Max;p45;8;7;199
Max;p36;8;7;199
Max;p30;8;7;199
Max;p1;8;7;199
Max;p15;8;7;199
Max;p23;8;7;199
Max;p14;8;7;199
Max;p11;8;7;199
Max;p19;8;7;199
Max;p90;10;7;199
Max;p26;8;7;199
Max;p34;8;7;199
Max;p35;8;7;199
Max;p87;8;7;199
Max;p18;8;7;199
Max;p27;8;7;199
Max;p25;8;7;199
Max;p33;8;7;199
Max;p41;8;7;199
Max;p40;8;7;199
Max;p2;8;7;199
Max;p17;8;7;199
Max;p32;8;7;199
Max;p28;8;7;199
Max;p37;8;7;199
Max;p13;8;7;199
Max;p12;8;7;199
Max;p20;8;7;199
Max;p29;8;7;199
Max;p21;8;7;199
Max;p16;8;7;199
Max;p24;8;7;199
Max;p3;8;7;199
Max;p5;8;7;199
Max;p4;8;7;199
Max;p6;8;7;199
Max;p7;8;7;199
Max;p8;8;7;199
Max;p9;8;7;199
